;;;;;;;;;;;;;;;;;;
000458;;BROCA SDS N 10;;;;;;;;;;;;43;;13,33;;
000460;;PROTETOR AUDITIVO;;;;;;;;;;;;17;;1,89;;
000464;;BROCA SDS N 6;;;;;;;;;;;;69;;11,11;;
000465;;COMPENSADO PARICA 06MM - 2,20X1,60MT;;;;;;;;;;;;2;;122,23;;
000468;;PISTAO 100N INVERSO;;;;;;;;;;;;714;;14,45;;
000475;;ESQUADRETA 1045 CONJUNTO C/ 4 PCS;;;;;;;;;;;;2.773;;11,00;;
000477;;CORREDICA 250MM TELESCOPICA LARGA;;;;;;;;;;;;148;;11,47;;
000478;;CORREDICA 300MM TELESCOPICA LARGA;;;;;;;;;;;;491;;12,81;;
000479;;CORREDICA 350MM TELESCOPICA LARGA;;;;;;;;;;;;157;;14,32;;
000480;;CORREDICA 400MM TELESCOPICA LARGA;;;;;;;;;;;;518;;15,84;;
000481;;CORREDICA 450MM TELESCOPICA LARGA;;;;;;;;;;;;366;;15,77;;
000482;;CORREDICA 500MM TELESCOPICA LARGA;;;;;;;;;;;;35;;22,36;;
000483;;CORREDICA 250MM TELESCOPICA LIGHT;;;;;;;;;;;;396;;7,73;;
000484;;CORREDICA 300MM TELESCOPICA LIGHT;;;;;;;;;;;;1.281;;9,24;;
000485;;CORREDICA 350MM TELESCOPICA LIGHT;;;;;;;;;;;;67;;11,66;;
000486;;CORREDICA 400MM TELESCOPICA LIGHT;;;;;;;;;;;;422;;10,55;;
000487;;CORREDICA 450MM TELESCOPICA LIGHT;;;;;;;;;;;;532;;13,02;;
000488;;CORREDICA 500MM TELESCOPICA LIGHT;;;;;;;;;;;;455;;16,79;;
000489;;CORREDICA 500MM BRANCA;;;;;;;;;;;;67;;16,11;;
000490;;CORREDICA 400MM TOQUE;;;;;;;;;;;;40;;42,22;;
000491;;CORREDICA 450MM TOQUE;;;;;;;;;;;;0;;46,67;;
000493;;DOBRADICA 26MM CURVA;;;;;;;;;;;;212;;3,33;;
000494;;DOBRADICA 26MM RETA;;;;;;;;;;;;519;;3,33;;
000499;;MDF 03MM BRANCO 1 FACE;;;;;;;;;;;;30;;138,33;;
000503;;MDF 15MM BRANCO 2 FACES;;;;;;;;;;;;-16;;316,67;;
000506;;MDF 15MM AMANTEA 2 FACES;;;;;;;;;;;;441;;74,81;;
000523;;TRILHO 021 (DN 80) 2MT;;;;;;;;;;;;-51;;70,28;;
000524;;TRILHO 021 (DN 80) 3MT;;;;;;;;;;;;-11;;105,33;;
000525;;TRILHO 021 (DN 80) 6MT;;;;;;;;;;;;41;;183,33;;
000526;;TRILHO 022 (RO 61 / RO 65) 3MT - INFERIOR;;;;;;;;;;;;-72;;47,31;;
000527;;TRILHO 022 (RO 61 / RO 65) 6MT - INFERIOR;;;;;;;;;;;;139;;90,07;;
000528;;TRILHO 030 (RO 61 / RO 65) 3MT - SUPERIOR;;;;;;;;;;;;-105;;75,00;;
000529;;TRILHO 030 (RO 61 / RO 65) 6MT - SUPERIOR;;;;;;;;;;;;117;;151,07;;
000531;;PERFIL PARA PORTA 1045 6MT;;;;;;;;;;;;65;;144,44;;
000533;;PONTEIRA 2 POLEGADAS N 2;;;;;;;;;;;;990;;2,78;;
000534;;PONTEIRA 1 POLEGADA N 2;;;;;;;;;;;;1.169;;1,67;;
000535;;FORMAO 1/4;;;;;;;;;;;;17;;26,67;;
000536;;PORTA PANO 3 ARTES BRANCO;;;;;;;;;;;;15;;62,22;;
000537;;PORTA PANO 3 ARTES CROMADO;;;;;;;;;;;;23;;74,44;;
000538;;TRILHO D-52 3MT - INFERIOR;;;;;;;;;;;;-29;;52,22;;
000539;;TRILHO D-52 3MT - SUPERIOR;;;;;;;;;;;;-22;;45,00;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;MADEPINUS;;;
;;;;;Tabela de Preços - Com Estoque;;;;;;;;Emissão:;12/12/2025 10:57;;;;
;;;;;;;;;;;;;;;;Página;5;
;;;;;;;;;;;;;;;;;;
Código;;;;Produto;;;;;;;;;;Qt. Est.;;Preço;;
;;;;;;;;;;;;;;;;;;
000540;;TRILHO D-52 6MT - INFERIOR;;;;;;;;;;;;153;;76,67;;
000541;;TRILHO D-52 6MT - SUPERIOR;;;;;;;;;;;;46;;84,45;;
000542;;TUBO CABIDEIRO REDONDO;;;;;;;;;;;;148;;19,44;;
000543;;TUBO CABIDEIRO OVAL;;;;;;;;;;;;306;;19,44;;
000544;;SUPORTE PARA TV;;;;;;;;;;;;49;;33,34;;
000545;;RODIZIO 310 - 100MM - SEM TRAVA;;;;;;;;;;;;-2;;20,00;;
000546;;RODIZIO 310 - 100MM - COM TRAVA;;;;;;;;;;;;19;;23,34;;
000547;;BROCA ACO RAPIDO 1/4;;;;;;;;;;;;48;;14,45;;
000548;;BROCA ACO RAPIDO 5/16;;;;;;;;;;;;9;;22,00;;
000550;;OCULOS JAGUAR;;;;;;;;;;;;41;;10,00;;
000552;;PONTEIRA 2 POLEGADAS N 3;;;;;;;;;;;;1.303;;2,78;;
000560;;LIXA PAPEL 30CM P60;;;;;;;;;;;;43;;33,33;;
000562;;BROCA AR 26MM;;;;;;;;;;;;19;;35,56;;
000563;;BROCA AR 35MM;;;;;;;;;;;;175;;27,78;;
000566;;CAPA 04MM;;;;;;;;;;;;0;;33,34;;
000568;;COMPENSADO PARICA 08MM - 2,20X1,60MT;;;;;;;;;;;;-4;;151,11;;
000569;;COMPENSADO PARICA 20MM - 2,20X1,60MT;;;;;;;;;;;;1;;288,89;;
000571;;TOMADA MACHO;;;;;;;;;;;;2;;5,95;;
000572;;TOMADA FEMEA;;;;;;;;;;;;63;;6,33;;
000575;;GANCHO CABIDE PEQUENO;;;;;;;;;;;;1.682;;2,78;;
000579;;CORRETIVO;;;;;;;;;;;;71;;3,89;;
000581;;PISTAO 80N MINI;;;;;;;;;;;;397;;12,22;;
000582;;RODIZIO SILICONE 75MM S/TV;;;;;;;;;;;;29;;16,67;;
000583;;RODIZIO SILICONE 75MM C/TV;;;;;;;;;;;;53;;19,56;;
000586;;MDF 15MM NATURAL;;;;;;;;;;;;0;;243,34;;
000597;;FITA BORDA TOLEDO 19MM;;;;;;;;;;;;26;;11,11;;
000599;;FITA BORDA TOLEDO 64MM;;;;;;;;;;;;48;;33,33;;
000600;;LIXA MASSA GR 220;;;;;;;;;;;;1.030;;1,89;;
000601;;FITA BORDA 19MM BRANCO C/ 20 MT;;;;;;;;;;;;188;;13,33;;
000602;;FITA BORDA 19MM BRANCO C/ 50 MT;;;;;;;;;;;;65;;33,34;;
000603;;FITA BORDA 35MM BRANCO C/ 20 MT;;;;;;;;;;;;-19;;24,45;;
000604;;FITA BORDA 35MM BRANCO C/ 50 MT;;;;;;;;;;;;44;;61,11;;
000608;;FITA BORDA AGATA 19MM;;;;;;;;;;;;20;;7,78;;
000609;;FITA BORDA AGATA 35MM;;;;;;;;;;;;1;;15,56;;
000610;;FITA BORDA AGATA 64MM;;;;;;;;;;;;0;;11,11;;
000612;;FITA BORDA HUNTER 35MM;;;;;;;;;;;;32;;22,22;;
000613;;FITA BORDA HUNTER 64MM;;;;;;;;;;;;45;;33,33;;
000620;;LIXA PAPEL 30CM P80;;;;;;;;;;;;188;;33,33;;
000621;;LIXA PAPEL 30CM P100;;;;;;;;;;;;288;;33,33;;
000622;;LIXA PAPEL 30CM P36;;;;;;;;;;;;133;;47,78;;
000627;;FECHADURA CILINDRO 500MM;;;;;;;;;;;;-8;;30,00;;
000628;;FITA BORDA 22MM BRANCO C/ 20 MT;;;;;;;;;;;;45;;15,56;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;MADEPINUS;;;
;;;;;Tabela de Preços - Com Estoque;;;;;;;;Emissão:;12/12/2025 10:57;;;;
;;;;;;;;;;;;;;;;Página;6;
;;;;;;;;;;;;;;;;;;
Código;;;;Produto;;;;;;;;;;Qt. Est.;;Preço;;
